除外KW,カテゴリ,費用,CV,該当語数,推奨
ナニワ,競合,9015,0,286,✅除外OK
フジヤ,競合,4490,0,74,✅除外OK
コメ兵,競合,1344,0,20,✅除外OK
じゃんぱら,競合,881,0,84,✅除外OK
撮影,非売却,10588,0,54,✅除外OK
天体,非売却,5926,0,23,✅除外OK
使い方,非売却,607,0,15,✅除外OK
