Campaign,Ad Group,Keyword,Match Type,Keyword Type
GLP1_注射（マンジャロ）,#BIGキーワード（マンジャロ）,マンジャロ 相場,Exact,Positive
GLP1_注射（マンジャロ）,#BIGキーワード（マンジャロ）,まんじゃろ,Exact,Positive
GLP1_注射（マンジャロ）,#BIGキーワード（マンジャロ）,マンジャロ 肥満,Exact,Positive
GLP1_注射（マンジャロ）,#BIGキーワード（マンジャロ）,肥満外来 オンライン おすすめ,Exact,Positive
GLP1_注射（マンジャロ）,#BIGキーワード（マンジャロ）,マンジャロ bmi,Exact,Positive
GLP1_注射（マンジャロ）,#BIGキーワード（マンジャロ）,マンジャロ 病院,Exact,Positive
GLP1_注射（マンジャロ）,#BIGキーワード（マンジャロ）,マンジャロ どこがいい,Exact,Positive
GLP1_注射（マンジャロ）,#BIGキーワード（マンジャロ）,マンジャロ 値段 オンライン,Exact,Positive
GLP1_注射（マンジャロ）,#BIGキーワード（マンジャロ）,マンジャロ 自由診療,Exact,Positive
